18,1178,1273,3339,1316,516,882,764,-65,1186,669,820,1616,515,472,954,453,111,954,762,358,2143,198,726,27,2091,738,390,883,540,102,141,-76,314,22,1232,136,-144,2111,10,1198,542,41,711,944,2753,666,203,1263,-163,220
19,3427,6482,2696,2492,473,1459,1448,84,1224,1137,1116,4692,339,156,532,1660,576,1146,800,310,2291,251,95,473,2273,907,615,1309,44,432,155,-108,146,-180,1519,-53,45,1983,-38,1010,809,16,1346,343,815,250,1074,694,-196,1271
20,6870,7629,8148,6464,1487,4253,2191,867,4555,3810,5908,11241,748,629,3192,2174,5796,4700,1158,1047,5933,847,767,4409,12217,860,827,817,616,359,180,-58,636,205,180,119,-862,2731,17,1969,2475,242,2273,950,2233,284,1071,888,-345,4004
21,9177,5746,2805,524,688,768,768,323,2707,1631,1143,9114,201,256,896,3707,-11,2914,1185,-67,2306,689,600,1536,2973,92,68,383,447,149,139,-151,371,-124,1912,118,343,1962,34,1377,1514,184,545,64,5193,137,675,447,82,1781
22,4836,699,5397,3253,143,176,1323,241,274,857,108,2572,48,104,70,295,1628,1000,141,-44,2131,290,247,678,1743,686,122,825,239,160,124,-243,180,-102,354,206,678,1739,-23,791,1977,155,949,88,1026,401,177,527,-175,350
23,3085,2443,870,3796,376,862,1992,493,590,813,146,1601,-36,172,321,1377,1962,1122,767,395,4677,199,442,2103,12805,803,-108,731,9,366,108,-275,780,425,178,146,1177,585,30,596,672,148,1297,-85,740,613,417,1820,121,431
24,5815,3840,5955,4093,531,1409,1210,502,1823,899,2457,6110,598,494,992,1456,1306,2298,1145,651,3182,569,621,1478,5981,803,222,899,515,770,102,-263,655,-205,1687,185,734,1571,209,868,1235,-146,1343,-96,2785,513,300,71,-183,3970
25,1872,3878,5070,1689,481,489,738,301,553,223,1081,2242,163,162,363,404,892,498,521,166,2910,292,116,5653,2425,842,700,1171,50,267,203,-203,402,-229,3711,9270,502,1395,13,635,933,4271,1371,560,14011,439,559,515,-49,747
26,3265,3262,8219,5204,647,716,2143,101,1909,759,1480,3074,169,348,636,1982,2452,753,700,190,2648,424,96,2281,3323,514,433,805,268,59,128,-53,190,66,1750,183,29,1437,19,827,1114,29,1330,43,2381,416,342,304,-65,773
27,2877,1810,4184,2581,145,500,1245,20,1076,899,1283,5374,104,217,419,949,760,672,456,201,2818,517,291,503,2617,561,-674,1286,483,-187,84,-398,273,34,291,150,176,990,-100,190,-9,-233,2127,-269,569,430,7,2331,-239,115
34,1126,782,711,498,153,279,302,56,299,12,427,2271,35,181,263,454,784,407,238,282,1647,200,208,517,911,1811,2947,2402,1674,652,1450,4830,1807,1537,8518,8054,13464,4719,59,3127,3236,3693,5587,394,13338,1702,727,4259,1338,5878
35,880,490,654,165,19,336,201,168,389,218,288,1082,79,74,226,391,406,529,382,43,2195,86,57,459,2551,1406,1050,2137,735,262,781,-312,1038,1481,3628,216,1233,1106,72,853,1125,-45,3909,72,2306,1137,1639,2517,565,2140
36,473,1648,-14,1309,88,194,667,-73,126,8,295,2007,71,202,87,412,118,697,245,64,1885,209,214,268,1297,1707,4863,3965,2727,618,970,4573,1051,17863,10603,17022,7955,5868,692,6159,4647,11517,12358,5940,21135,2014,1096,15519,2892,5162
37,186,528,218,852,139,130,697,-53,190,-80,224,802,14,4,183,393,43,786,267,-44,1359,253,149,607,753,2072,2612,2539,2399,805,408,6759,1064,13296,8479,19361,9933,6903,672,5503,3808,12979,7125,6247,12115,2683,3397,13221,157,2887
38,680,99,251,1484,75,51,721,62,275,201,230,939,64,-25,111,286,214,845,342,-179,1291,199,195,448,2708,1753,1671,2286,784,673,275,1569,2538,1661,1285,10043,2676,7061,307,2083,3594,5072,2275,6530,5902,974,4465,2702,-245,4681
28,794,1203,-2,1283,300,596,893,107,353,449,384,1238,64,28,323,429,172,824,832,151,2176,292,209,485,2493,1929,2224,1641,679,822,316,-21,733,1073,7858,15202,548,7113,373,6718,2702,10476,4214,159,13895,1147,2274,2475,1179,3077
29,1312,1561,412,1525,237,309,624,150,279,65,179,967,35,178,125,314,371,1174,294,66,1486,151,29,185,487,1647,3348,2545,1305,1137,555,6569,1296,6962,8859,3104,19615,3717,550,1766,1736,1653,2558,5824,1908,478,2195,3605,868,6000
30,485,1628,343,811,100,313,388,-1,250,172,651,1365,-5,12,158,208,292,440,148,-49,730,173,160,281,769,2112,6218,3818,2694,1050,1130,7372,647,14555,11003,6506,9994,11618,425,4915,3553,2971,8793,7142,11990,2279,478,6268,1537,5065
31,408,1784,272,1032,192,275,432,31,381,239,469,1568,23,115,295,385,248,651,309,-36,3719,119,223,444,1614,1555,1548,2943,1028,1157,1338,4833,1085,7238,5849,2096,7791,1262,82,2056,3255,688,4630,499,9866,754,983,7035,1675,7260
32,1047,1214,306,1024,339,311,706,210,671,683,328,1843,59,136,368,688,618,660,259,192,1985,185,293,438,4148,1514,3297,2535,2680,1083,774,141,1467,12339,3259,12715,976,3088,619,4136,4249,7108,7373,1853,10899,978,1017,7969,657,2027
33,335,1583,19,1827,59,19,736,-94,200,153,133,936,33,63,110,248,-203,580,256,-303,1528,172,73,1068,1446,2693,3482,1373,3223,1099,443,2000,1513,3654,8855,21147,4108,5749,864,4126,1871,13176,2771,6704,14090,1690,1999,13195,562,3072
